time,force
0,-149.929306
0,-77.6647644
0,3.927072525
0,37.29718018
1,67.04445648
1,79.71437073
1,84.10580444
1,93.88145447
1,98.25687408
1,106.5633774
1,112.1957855
1,117.379837
1,105.0501938
1,99.18960571
1,131.470871
1,164.6167908
2,173.7119141
2,163.2837524
2,180.1929779
2,224.763855
2,237.3777313
2,225.2722626
2,206.5295868
2,206.4815521
2,241.5169678
2,258.4302063
2,264.7030945
3,265.743927
3,297.7089233
3,327.5562744
3,343.6889038
3,340.1821594
3,334.2815552
3,330.6347046
3,335.6306152
3,363.9367371
3,405.3091125
3,402.9352722
4,397.2588196
4,406.8943481
4,410.8334351
4,428.263092
4,421.7219543
4,446.5493774
4,481.4166565
4,501.7525635
4,512.8812866
4,453.2986755
4,416.1455994
4,456.7693787
5,502.4571228
5,529.8065186
5,545.5428467
5,527.8410034
5,537.5606079
5,559.6658936
5,619.7288818
5,633.4396362
5,588.4043579
5,609.8851929
5,610.5136719
6,631.5020752
6,656.2174072
6,632.4188232
6,652.1382446
6,656.0812988
6,697.541748
6,694.3312378
6,696.3648682
6,728.7061768
6,741.2919922
6,730.4274902
6,736.6363525
7,773.0688477
7,844.4647217
7,899.3756714
7,863.9679565
7,856.8864136
7,894.1796265
7,857.9232178
7,884.8242798
7,934.8234253
7,914.0751953
7,893.3989868
8,956.4403076
8,1003.276978
8,1013.917297
8,1031.170776
8,1063.067749
8,1074.440674
8,1053.372192
8,1095.505127
8,1087.322754
8,1021.106934
8,1079.38855
9,1129.771973
9,1093.939941
9,1168.133911
9,1133.69104
9,1151.140625
9,1273.652466
9,1262.96814
9,1212.548706
9,1191.896606
9,1245.538574
9,1280.998291
9,1319.176147
10,1244.693848
10,1162.749756
10,1223.393188
10,1288.576172
10,1357.089844
10,1409.32666
10,1282.751587
10,1308.776001
10,1405.083374
10,1298.047607
10,1263.740723
11,1298.267822
11,1287.607422
11,1245.666626
11,1167.713623
11,1186.920654
11,1230.730957
11,1189.886963
11,1152.910034
11,1109.628174
11,1119.439819
11,1166.65686
12,1182.31311
12,1224.578125
12,1350.264404
12,1330.372925
12,1277.023193
12,1247.608154
12,1254.477539
12,1299.985107
12,1322.270508
12,1251.723389
12,1217.304443
12,1231.619629
13,1264.585449
13,1234.005493
13,1248.220581
13,1209.466309
13,1216.043457
13,1207.917114
13,1252.44397
13,1346.109253
13,1352.674316
13,1320.25293
13,1308.587891
14,1311.74231
14,1293.335938
14,1309.944946
14,1319.632446
14,1328.379395
14,1287.067017
14,1337.510498
14,1335.544922
14,1281.354492
14,1322.794922
14,1342.982788
14,1279.833374
15,1219.866455
15,1311.462158
15,1347.442261
15,1292.999634
15,1282.123169
15,1295.661743
15,1343.439087
15,1338.415161
15,1294.773071
15,1270.678223
15,1294.496826
16,1330.797241
16,1291.930786
16,1279.937378
16,1269.208984
16,1145.824463
16,1172.577393
16,1210.607178
16,1238.49707
16,1215.479004
16,1185.715698
16,1167.83374
17,1131.653442
17,1134.307495
17,1136.417114
17,1174.61499
17,1191.011841
17,1166.768921
17,1145.160034
17,1164.763306
17,1263.688721
17,1306.606323
17,1299.5448
17,1375.768433
18,1331.561768
18,1261.447021
18,1221.067383
18,1314.488525
18,1283.624268
18,1305.461426
18,1317.991211
18,1291.658569
18,1220.574951
18,1188.589966
18,1173.558228
19,1121.045166
19,1116.677734
19,1104.424072
19,1154.999634
19,1225.434814
19,1196.416138
19,1248.18457
19,1273.320313
19,1277.259399
19,1313.227539
19,1352.334106
20,1289.352783
20,1241.055054
20,1222.452515
20,1261.394897
20,1307.679199
20,1290.717896
20,1349.840088
20,1354.191528
20,1263.560669
20,1199.266357
20,1226.547607
20,1259.425415
