time,force
0,-202.5184479
1,-143.560318
1,-57.83324814
1,-12.46575356
1,13.77477741
1,27.55355835
1,31.40457153
1,28.04594421
1,30.90418053
1,57.76919937
1,59.39847565
1,47.96953201
1,49.45069122
2,48.04158783
2,72.41265869
2,90.75100708
2,98.70122528
2,103.749176
2,116.6032333
2,144.3769684
2,149.516983
2,143.7884979
2,146.2464294
2,160.489563
3,166.9386139
3,169.4165497
3,173.7079163
3,177.5589294
3,203.6833649
3,243.6786499
3,250.7001495
3,224.1473694
3,208.9955139
3,220.048172
3,252.2733765
4,278.3738098
4,302.9210205
4,295.1869507
4,295.9915771
4,307.5245972
4,313.5453186
4,302.8649597
4,310.3668213
4,340.4223633
4,389.7889709
4,380.5257263
4,371.0543213
5,376.2063599
5,384.96521
5,412.638855
5,420.6331177
5,411.0055847
5,427.3223267
5,463.9269714
5,514.7026978
5,518.8699951
5,501.5203857
5,495.1914368
6,508.7700806
6,557.852478
6,548.6572876
6,568.7129517
6,611.4584351
6,587.2594604
6,575.8985596
6,614.3126221
6,609.0285034
6,626.1419067
6,646.5418701
6,676.1690674
7,681.6733398
7,683.0424194
7,662.8425903
7,678.6149292
7,725.8839111
7,723.3619385
7,710.8441772
7,742.0165405
7,776.3114014
7,783.6171265
7,778.0968018
8,835.4176636
8,828.0438843
8,815.0016479
8,830.8540649
8,808.8568726
8,779.9622803
8,843.1957397
8,924.0349731
8,980.819397
8,966.8204346
8,922.4377441
9,946.3924561
9,1044.525269
9,1072.343018
9,1010.358521
9,1036.575073
9,1053.544312
9,1037.719971
9,1014.457703
9,1023.044434
9,1097.754883
9,1144.091187
9,1145.380127
10,1139.31543
10,1131.477295
10,1105.577026
10,1175.411621
10,1205.479126
10,1189.102417
10,1203.417603
10,1179.382813
10,1101.521851
10,1114.115723
10,1238.296875
11,1287.163086
11,1280.35376
11,1274.357056
11,1281.182373
11,1259.661621
11,1208.549561
11,1219.366089
11,1171.396484
11,1160.796265
11,1203.64978
11,1193.097534
11,1129.231567
12,1142.417847
12,1188.774048
12,1235.082397
12,1255.626465
12,1269.020874
12,1289.424805
12,1286.746704
12,1230.606812
12,1235.470703
12,1238.384888
12,1186.1521
13,1163.754517
13,1181.400391
13,1165.131592
13,1140.708496
13,1171.552612
13,1171.764771
13,1274.809448
13,1271.158569
13,1153.006104
13,1191.508301
13,1241.239136
14,1209.506348
14,1186.540405
14,1201.7323
14,1201.896362
14,1167.065063
14,1182.641357
14,1160.944336
14,1231.203247
14,1252.287842
14,1199.722656
14,1156.576904
14,1166.909058
15,1230.506714
15,1263.676758
15,1216.527832
15,1200.715454
15,1273.632446
15,1311.157837
15,1270.886353
15,1211.976318
15,1243.528931
15,1298.471924
15,1249.477661
16,1237.035889
16,1248.905151
16,1236.751587
16,1230.210571
16,1168.254028
16,1139.651733
16,1182.95752
16,1249.533691
16,1279.196899
16,1230.25061
16,1209.446289
17,1258.796875
17,1318.703735
17,1227.748657
17,1179.19458
17,1234.129639
17,1191.864502
17,1153.622559
17,1234.265747
17,1211.431885
17,1182.393066
17,1203.369507
17,1269.757446
18,1256.491089
18,1223.657349
18,1214.566284
18,1249.081299
18,1234.349731
18,1230.814941
18,1177.261108
18,1175.083374
18,1186.664429
18,1198.209473
18,1150.844482
19,1177.109009
19,1231.619629
19,1267.023315
19,1274.417114
19,1260.734375
19,1216.215576
19,1201.912354
19,1240.854858
19,1275.465942
19,1187.617188
19,1140.952637
19,1216.996216
20,1278.348145
20,1245.346313
20,1266.450928
20,1282.21521
20,1223.25708
20,1201.764282
20,1219.550171
20,1288.904419
20,1264.233154
20,1225.799072
20,1205.263062
