time,force
0,-7.742057323
1,57.38489914
1,156.9107666
1,227.6821442
1,264.1346741
1,283.0334473
1,292.8451233
1,297.8610535
1,306.4917908
1,329.4177246
1,345.4022522
1,343.0884399
2,326.6355591
2,336.1149902
2,379.2887573
2,396.1619568
2,412.1344604
2,410.4811707
2,415.6291809
2,445.2003174
2,450.7886963
2,447.3500061
2,457.7141113
3,492.6894836
3,525.9074707
3,514.418457
3,508.8421326
3,527.4526978
3,539.2138672
3,577.4638062
3,603.760376
3,608.2198486
3,601.8508911
3,589.9616089
3,621.1900024
4,656.1373901
4,667.2580566
4,682.866272
4,704.7714233
4,749.262207
4,737.8372803
4,741.6843262
4,747.953186
4,745.9075928
4,776.5315552
4,793.4087524
5,762.6567383
5,763.9457397
5,775.8670654
5,821.4587402
5,824.5211182
5,851.5822754
5,913.0303345
5,902.382019
5,874.5842896
5,876.7299805
5,893.3349609
5,877.7547607
6,901.425293
6,992.3964844
6,1034.333252
6,981.8722534
6,1000.130493
6,1015.150269
6,1020.658569
6,1102.418579
6,1124.515869
6,1058.648315
6,1044.705444
7,1111.389526
7,1152.749878
7,1121.933838
7,1089.708618
7,1098.86377
7,1139.97998
7,1179.330688
7,1187.929443
7,1196.211914
7,1224.522095
7,1254.485474
8,1319.072021
8,1296.238159
8,1286.006226
8,1319.900757
8,1411.328247
8,1448.309204
8,1427.933228
8,1439.322144
8,1442.36853
8,1444.013794
8,1403.137817
8,1433.645752
9,1476.807495
9,1518.500122
9,1545.705322
9,1459.602051
9,1477.612061
9,1564.339966
9,1573.16687
9,1532.471069
9,1560.220703
9,1585.184204
9,1593.230591
10,1638.333862
10,1664.530396
10,1666.095581
10,1607.845947
10,1618.3302
10,1603.750732
10,1599.039063
10,1596.761353
10,1558.595459
10,1551.449829
10,1606.004517
10,1599.339355
11,1635.783813
11,1666.788086
11,1648.041504
11,1607.813965
11,1643.329712
11,1626.200317
11,1619.575195
11,1544.992798
11,1597.918213
11,1615.3479
11,1630.924072
12,1590.212158
12,1612.197388
12,1606.861206
12,1581.097046
12,1625.299683
12,1661.167725
12,1705.114136
12,1712.283691
12,1670.082642
12,1704.625732
12,1675.27478
13,1666.980225
13,1628.914429
13,1592.189697
13,1591.417114
13,1723.348389
13,1757.206909
13,1682.096069
13,1677.756714
13,1732.587646
13,1701.151001
13,1673.441284
13,1656.307861
14,1671.05542
14,1716.675171
14,1700.92688
14,1718.232422
14,1720.962524
14,1748.704224
14,1696.559448
14,1726.739014
14,1691.059082
14,1682.70459
14,1581.165161
15,1616.376709
15,1703.744995
15,1786.321655
15,1726.971191
15,1682.852661
15,1690.911011
15,1689.710083
15,1698.444824
15,1649.562622
15,1648.950195
15,1668.689575
15,1689.810181
16,1624.959351
16,1644.850952
16,1722.023315
16,1735.001465
16,1734.432983
16,1699.505737
16,1694.890137
16,1619.94751
16,1655.827515
16,1725.514038
16,1761.169922
17,1754.781006
17,1686.887817
17,1672.288452
17,1646.332153
17,1614.559204
17,1571.673706
17,1586.293091
17,1613.01001
17,1618.382202
17,1663.921875
17,1663.393433
18,1654.406372
18,1653.497681
18,1651.572266
18,1705.014038
18,1714.005005
18,1696.767578
18,1658.829834
18,1710.222046
18,1677.252319
18,1653.865967
18,1673.797607
18,1628.902466
19,1545.52124
19,1589.147339
19,1664.206055
19,1689.505859
19,1615.471924
19,1626.268433
19,1610.496094
19,1572.630493
19,1603.202393
19,1604.115112
19,1598.006348
20,1569.788208
20,1585.796753
20,1575.512695
20,1554.095947
20,1651.748291
20,1638.469971
20,1562.758667
20,1526.19812
20,1583.022583
20,1554.192017
20,1495.918457
20,1524.536865
