time,force
0,-6.332954884
0,56.24800873
0,155.9059753
0,222.5341187
1,256.044342
1,267.2050781
1,281.4842224
1,292.7090149
1,302.9450378
1,326.7436523
1,330.6907349
1,326.1912231
1,328.2368164
1,341.5072021
1,381.0341187
1,402.114624
2,405.8015137
2,408.5436401
2,397.0586548
2,415.9934692
2,428.1109619
2,438.8873901
2,435.4847412
2,462.7220459
2,520.2630615
2,557.4000854
2,566.2270508
3,579.9937744
3,577.6759644
3,596.7909546
3,611.8547363
3,621.6824341
3,602.7075806
3,595.4619141
3,655.1605835
3,701.0004883
3,720.9120483
3,706.1525269
4,717.3292236
4,750.6993408
4,762.0322266
4,748.5016479
4,746.0397339
4,740.6835327
4,782.4281616
4,813.8287354
4,817.3154907
4,847.427063
4,895.6207275
4,958.7380981
5,955.4675903
5,940.6799927
5,936.80896
5,927.3615723
5,955.659729
5,965.5474243
5,979.7825928
5,955.3834839
5,956.7846069
5,1044.813477
5,1093.855835
6,1096.421875
6,1117.222168
6,1131.557373
6,1085.781494
6,1102.014282
6,1144.003052
6,1149.787598
6,1134.027222
6,1177.713501
6,1201.680176
6,1172.2052
7,1101.013428
7,1119.676025
7,1180.435547
7,1201.335938
7,1203.481567
7,1194.546631
7,1212.78894
7,1302.278931
7,1356.90564
7,1390.676025
7,1353.038574
7,1335.857178
8,1366.016846
8,1346.38147
8,1363.622925
8,1412.601196
8,1443.873657
8,1497.719849
8,1493.580566
8,1600.776489
8,1670.526978
8,1561.313599
8,1474.049316
9,1420.47937
9,1440.979492
9,1458.30896
9,1445.967285
9,1421.88855
9,1460.010376
9,1546.602051
9,1588.651001
9,1631.780762
9,1663.605591
9,1698.552979
9,1783.227173
10,1860.351563
10,1793.915527
10,1676.535767
10,1644.971069
10,1677.15625
10,1776.109619
10,1806.493408
10,1773.519653
10,1750.389526
10,1802.470215
10,1870.82373
11,1814.207397
11,1799.379883
11,1814.739868
11,1814.407593
11,1770.977661
11,1770.056885
11,1801.041138
11,1778.419434
11,1796.181396
11,1762.19873
11,1750.481567
12,1732.415405
12,1724.473267
12,1721.919189
12,1754.080444
12,1833.790771
12,1836.004517
12,1784.900513
12,1738.524292
12,1716.643066
12,1777.446655
12,1826.969482
12,1894.694458
13,1880.551392
13,1778.895874
13,1818.110474
13,1853.662354
13,1859.374756
13,1798.038818
13,1758.007446
13,1743.980469
13,1761.974609
13,1794.868286
13,1783.0271
14,1873.926147
14,1848.033936
14,1847.353394
14,1845.147705
14,1707.756226
14,1761.646362
14,1872.717285
14,1886.171753
14,1863.738159
14,1810.520508
14,1684.618042
14,1662.901123
15,1767.2948
15,1782.266479
15,1778.367432
15,1819.263428
15,1838.098145
15,1836.70105
15,1852.613525
15,1777.110474
15,1784.860474
15,1816.325073
15,1875.879761
16,1828.010254
16,1779.232056
16,1790.957275
16,1803.863403
16,1785.717163
16,1782.971069
16,1825.32019
16,1894.282104
16,1839.295044
16,1785.160767
16,1812.506104
17,1759.084351
17,1787.29834
17,1745.841919
17,1751.294189
17,1832.998169
17,1872.084717
17,1861.328369
17,1781.549927
17,1712.407837
17,1722.835938
17,1703.592896
17,1748.043701
18,1729.665283
18,1749.684937
18,1761.690308
18,1770.245117
18,1807.254028
18,1930.466431
18,1897.412598
18,1729.67334
18,1611.753052
18,1598.298584
18,1656.42395
19,1738.215942
19,1758.075562
19,1804.631958
19,1786.906128
19,1769.388428
19,1833.138306
19,1836.865234
19,1845.599976
19,1865.179321
19,1868.930298
19,1788.907715
19,1826.957397
20,1815.732666
20,1763.972168
20,1722.655762
20,1744.520874
20,1788.723511
20,1729.292969
20,1744.440918
20,1820.680542
20,1906.239502
20,1907.348389
20,1799.732178
