time,force
0,-105.154274
1,-38.42606354
1,67.67295074
1,133.6846008
1,173.6758881
1,189.3961792
1,193.8396606
1,199.0397339
1,213.1187439
1,238.4705811
1,249.3991394
1,240.1598969
2,235.059906
2,246.1165619
2,263.1499023
2,273.2778015
2,283.5618591
2,292.1165466
2,303.1411743
2,325.338562
2,337.2758789
2,332.852417
2,332.2879944
2,353.2604065
3,384.35672
3,413.1192322
3,433.2149658
3,421.9020996
3,407.2346191
3,425.8411865
3,436.9258423
3,430.0244446
3,435.1324463
3,459.4754944
3,476.2406006
4,508.8781433
4,529.1660156
4,523.1813354
4,529.9266357
4,552.9446411
4,567.9163208
4,572.1356201
4,550.442688
4,534.5062256
4,591.7670288
4,660.3086548
4,706.5368042
5,694.4753418
5,671.2612305
5,683.4307251
5,708.4382935
5,742.4689331
5,748.6217041
5,735.3313599
5,772.24823
5,801.8273315
5,794.1813965
5,784.1895752
6,796.3030396
6,802.9482422
6,832.347229
6,849.8569336
6,858.8239746
6,877.6987305
6,895.1003418
6,901.8375854
6,922.0534058
6,899.1955566
6,931.0404663
7,950.6918335
7,944.8552856
7,957.1008301
7,1010.58667
7,1048.063965
7,1080.169189
7,1137.353882
7,1102.262451
7,1072.11084
7,1084.84082
7,1143.674805
7,1150.976563
8,1152.265503
8,1155.728271
8,1174.118652
8,1254.985962
8,1208.713745
8,1185.843872
8,1191.864502
8,1257.924194
8,1336.201416
8,1357.938477
8,1378.990967
9,1416.664429
9,1369.315308
9,1402.581421
9,1443.501465
9,1404.963257
9,1388.458374
9,1452.100098
9,1489.861694
9,1469.866089
9,1445.587036
9,1408.385986
9,1409.514771
10,1451.58374
10,1459.645996
10,1421.444092
10,1438.693604
10,1426.476074
10,1528.067627
10,1588.799072
10,1534.52063
10,1507.211304
10,1483.94104
10,1475.706665
11,1560.761108
11,1588.863159
11,1594.027222
11,1541.338013
11,1499.977539
11,1482.692017
11,1496.995239
11,1479.765747
11,1456.01123
11,1499.845459
11,1448.689453
12,1380.259888
12,1432.088501
12,1460.210449
12,1503.476318
12,1487.411743
12,1478.632935
12,1541.265869
12,1496.687012
12,1487.219604
12,1447.664673
12,1404.326782
12,1435.607178
13,1469.617798
13,1476.711426
13,1459.25769
13,1445.48291
13,1465.138306
13,1522.190918
13,1502.16333
13,1491.474976
13,1494.33313
13,1421.992554
13,1415.207275
14,1518.23584
14,1507.011108
14,1445.667114
14,1449.061768
14,1508.420166
14,1538.439697
14,1522.022827
14,1443.020996
14,1457.324219
14,1438.797729
14,1453.733398
14,1438.4375
15,1488.884888
15,1461.419434
15,1481.146851
15,1496.494873
15,1498.712646
15,1492.904053
15,1427.032471
15,1386.877075
15,1370.596313
15,1451.691772
15,1536.317993
16,1519.18457
16,1460.314575
16,1507.331299
16,1496.570923
16,1424.502563
16,1412.25293
16,1482.511963
16,1445.522949
16,1487.275635
16,1487.507813
16,1432.616943
17,1456.179321
17,1512.575439
17,1485.546265
17,1490.66626
17,1477.08374
17,1429.806641
17,1490.878418
17,1526.478271
17,1411.984741
17,1376.364868
17,1393.346191
17,1389.939453
18,1438.709717
18,1485.506226
18,1418.133545
18,1405.359619
18,1464.361694
18,1535.425293
18,1507.591553
18,1466.443359
18,1460.658813
18,1448.064941
18,1480.470337
19,1582.66626
19,1533.383789
19,1461.127197
19,1473.108521
19,1475.830688
19,1458.469116
19,1452.352295
19,1499.917603
19,1486.731201
19,1418.67395
19,1470.35437
19,1499.473145
20,1505.934204
20,1438.925781
20,1418.513916
20,1474.561768
20,1488.104248
20,1478.064453
20,1431.411987
20,1449.826416
20,1455.61084
20,1469.117432
20,1443.233154
