time,force
0,-60.27115631
0,8.730831146
0,110.7826767
0,173.4717255
1,210.5847626
1,231.4090576
1,243.6426239
1,254.1348419
1,263.3460388
1,287.1686707
1,295.8634949
1,285.9957581
1,258.9706116
1,275.5996399
1,325.214447
2,354.8135986
2,364.3370667
2,351.651123
2,349.713623
2,380.429657
2,394.9049683
2,389.004364
2,394.168396
2,424.8283997
2,471.5169067
2,455.7125549
2,414.4883118
3,417.7748718
3,428.2270508
3,447.990509
3,482.1372375
3,495.9600525
3,519.2262573
3,551.8598022
3,591.3146362
3,630.2210693
3,640.1328735
3,608.3759766
4,600.4978638
4,643.3113403
4,684.699707
4,713.2180176
4,705.3798828
4,660.9891357
4,680.2762451
4,733.4458618
4,759.4221802
4,739.5826416
4,748.9940186
5,819.4651489
5,839.428772
5,818.5564575
5,847.5070801
5,859.732666
5,873.3433228
5,843.8322144
5,831.7507935
5,814.4732666
5,846.4342651
5,882.758667
5,869.0719604
6,874.3760986
6,918.6707764
6,959.5107422
6,1000.955139
6,1050.437866
6,1079.032227
6,1098.667603
6,1095.048828
6,1053.164063
6,1071.238159
6,1109.472046
7,1120.440674
7,1154.13501
7,1220.430908
7,1234.481812
7,1224.401978
7,1169.170776
7,1163.214111
7,1263.59668
7,1274.244995
7,1250.134155
7,1294.969238
7,1350.588745
8,1366.425049
8,1314.180176
8,1310.657471
8,1373.714844
8,1435.022827
8,1492.071411
8,1465.546631
8,1455.690918
8,1515.749878
8,1513.712402
8,1539.584595
9,1514.825195
9,1468.861206
9,1538.391602
9,1545.385132
9,1613.234253
9,1679.313965
9,1562.802734
9,1553.455444
9,1573.086792
9,1553.099121
9,1557.310425
10,1672.756836
10,1600.203979
10,1574.904175
10,1650.923706
10,1616.276611
10,1629.839233
10,1633.594116
10,1498.68457
10,1528.892212
10,1581.813599
10,1529.288574
10,1410.891846
11,1478.65686
11,1528.423828
11,1607.361572
11,1604.723511
11,1548.667725
11,1616.3927
11,1678.265137
11,1605.095825
11,1599.167236
11,1578.671143
11,1528.031494
12,1467.452148
12,1533.463745
12,1645.875732
12,1590.98877
12,1591.593262
12,1701.359131
12,1668.193237
12,1559.408081
12,1523.748169
12,1536.942505
12,1499.052856
12,1585.076172
13,1666.47583
13,1625.451782
13,1597.229736
13,1525.885864
13,1542.402832
13,1605.724365
13,1635.363525
13,1615.395874
13,1650.671509
13,1610.163818
13,1494.125
14,1479.17334
14,1473.308716
14,1544.268311
14,1539.216309
14,1501.819092
14,1569.275757
14,1480.166138
14,1469.213501
14,1490.834473
14,1473.785156
14,1418.706055
15,1445.078613
15,1474.121338
15,1493.120239
15,1467.840454
15,1411.092041
15,1431.111694
15,1484.257324
15,1517.407227
15,1541.93042
15,1613.354248
15,1499.192993
15,1504.633179
16,1541.730225
16,1535.497437
16,1571.885864
16,1681.511597
16,1680.142578
16,1660.66333
16,1701.639404
16,1666.900146
16,1607.657837
16,1652.404907
16,1633.974487
17,1615.243774
17,1549.628418
17,1509.669189
17,1562.818726
17,1671.832031
17,1668.317261
17,1678.016846
17,1679.85437
17,1714.885742
17,1729.857422
17,1651.364014
17,1508.496216
18,1570.624878
18,1579.255615
18,1544.960815
18,1583.611084
18,1617.393433
18,1477.924316
18,1473.460815
18,1568.230957
18,1602.349731
18,1574.127563
18,1532.767212
19,1516.670654
19,1623.730469
19,1711.915405
19,1648.273682
19,1601.609131
19,1583.643066
19,1555.392944
19,1587.730225
19,1656.143799
19,1665.479126
19,1614.411133
20,1575.25647
20,1586.769531
20,1635.883911
20,1599.451416
20,1591.849487
20,1598.714844
20,1570.168457
20,1653.881958
20,1633.313965
20,1518.251953
20,1540.609375
20,1594.771729
