time,force
0,-157.6793671
0,-83.32118988
0,19.58332253
0,76.25966644
0,112.1077118
1,127.6038361
1,128.352417
1,126.4909668
1,132.439621
1,163.6400299
1,174.2723541
1,177.5989532
1,165.1692352
1,165.7456818
1,200.9051971
1,229.9319
1,234.9718475
2,216.2091675
2,215.0762787
2,244.7354889
2,258.478241
2,238.2984467
2,222.2859192
2,249.2470093
2,316.5957031
2,334.8659973
2,321.2673645
2,306.9841919
3,310.723114
3,357.8960266
3,365.8702698
3,366.9430847
3,378.0758057
3,398.4437561
3,443.4709778
3,465.5842896
3,449.2715149
3,424.800354
3,461.9534302
4,494.4548645
4,481.664856
4,483.7544861
4,488.2660217
4,495.0233154
4,536.9401245
4,553.6491699
4,515.6394653
4,488.2740173
4,514.0021362
4,568.8450928
4,616.3782349
5,645.7932739
5,628.9880981
5,638.6957397
5,648.6715088
5,662.1981201
5,650.5809937
5,659.3118286
5,680.4963989
5,743.5697632
5,743.3135986
5,718.5982666
6,747.4968262
6,783.7452393
6,834.3688354
6,812.2635498
6,772.5484619
6,728.6661377
6,786.2511597
6,891.5015259
6,922.3897095
6,912.6660767
6,892.8786011
6,893.1547852
7,947.7375488
7,960.9438477
7,959.5467529
7,947.8455811
7,985.6871948
7,1032.231567
7,1083.115479
7,1085.04895
7,1067.491211
7,1060.217529
7,1100.637207
8,1150.26001
8,1159.79541
8,1162.38147
8,1150.264038
8,1110.781128
8,1097.514648
8,1159.839478
8,1235.7229
8,1242.359985
8,1192.264893
8,1236.867798
9,1281.450562
9,1290.829956
9,1327.314453
9,1316.870361
9,1327.162354
9,1263.4646
9,1286.87085
9,1325.052734
9,1340.048462
9,1347.69043
9,1330.41687
9,1324.168091
10,1297.647339
10,1286.526611
10,1316.922363
10,1316.265869
10,1333.643433
10,1268.084106
10,1217.548584
10,1241.6875
10,1405.695801
10,1465.478638
10,1448.901611
11,1392.90979
11,1398.850464
11,1360.356323
11,1315.569336
11,1347.206055
11,1308.331665
11,1358.382813
11,1381.148682
11,1375.264038
11,1361.501221
11,1393.722412
11,1315.741455
12,1316.1698
12,1270.806274
12,1288.692261
12,1377.229614
12,1372.437866
12,1324.940674
12,1302.262939
12,1287.147095
12,1356.901611
12,1345.372681
12,1360.028076
13,1368.286621
13,1347.466309
13,1361.849487
13,1393.318115
13,1400.988159
13,1319.800659
13,1326.565918
13,1332.550659
13,1346.657593
13,1400.780029
13,1363.863159
14,1340.953125
14,1304.600708
14,1292.647339
14,1354.023438
14,1392.369385
14,1401.716675
14,1382.117432
14,1347.154053
14,1264.625488
14,1310.733521
14,1350.616699
14,1412.453125
15,1353.555054
15,1299.652832
15,1256.050781
15,1386.785034
15,1422.320801
15,1364.499634
15,1349.571899
15,1370.588379
15,1361.589355
15,1294.564819
15,1304.760864
16,1312.358765
16,1340.284668
16,1323.227295
16,1320.741333
16,1315.337158
16,1283.320068
16,1371.096802
16,1420.667603
16,1385.227783
16,1356.953735
16,1301.854614
16,1323.303345
17,1427.448853
17,1440.523071
17,1407.901611
17,1362.750244
17,1338.643311
17,1364.891846
17,1376.83728
17,1362.397949
17,1389.399048
17,1389.070801
17,1367.634033
18,1319.112061
18,1289.400879
18,1372.305664
18,1397.125122
18,1389.995605
18,1347.069946
18,1322.538818
18,1359.759888
18,1379.187134
18,1321.361816
18,1289.156616
19,1322.831055
19,1351.013062
19,1379.983765
19,1322.662842
19,1381.941284
19,1361.641357
19,1376.565063
19,1360.664551
19,1294.616943
19,1305.385376
19,1289.885254
19,1350.496582
20,1350.4646
20,1292.26709
20,1236.775635
20,1299.720947
20,1348.911377
20,1386.060425
20,1398.87854
20,1344.13562
20,1312.082642
20,1343.427124
20,1404.382813
