time,force
0,-13.18631744
0,38.1258316
1,136.4867859
1,214.6559448
1,259.0506897
1,268.4900818
1,264.5549927
1,259.2828674
1,261.6326904
1,295.6393127
1,312.9328308
1,309.2819824
1,297.9451294
2,291.8643494
2,306.271637
2,313.2530823
2,304.9265747
2,316.7278137
2,347.9562378
2,393.5959473
2,425.8371887
2,415.8293457
2,408.4916077
2,396.5182495
2,430.1845703
3,438.6391907
3,449.651825
3,448.0585632
3,452.3739319
3,481.5687866
3,504.0863953
3,496.3763733
3,503.5980225
3,520.7714844
3,529.4222412
3,532.6767578
4,530.8553467
4,561.5513916
4,623.3317261
4,641.0335693
4,641.8381958
4,645.1327515
4,615.8018188
4,603.5161743
4,620.7536621
4,621.9986572
4,631.2859497
4,661.097229
5,689.8557739
5,710.6199951
5,712.0731201
5,706.180542
5,715.239624
5,743.4336548
5,760.7271729
5,781.9118042
5,774.4699707
5,768.3692017
5,793.4528198
6,825.5779419
6,859.4124146
6,880.8091431
6,872.0823364
6,889.4719238
6,920.4001465
6,930.6801758
6,934.9354858
6,926.5929565
6,936.0563965
6,975.0268555
7,962.8013306
7,957.1248779
7,1005.718872
7,1058.155884
7,1066.194214
7,1054.448975
7,1086.72229
7,1081.11792
7,1122.177979
7,1163.186035
7,1125.676758
7,1143.642822
8,1124.916138
8,1122.810547
8,1194.338501
8,1234.301758
8,1198.181519
8,1205.787476
8,1228.132935
8,1306.970581
8,1345.764893
8,1300.001099
8,1290.61377
9,1283.348145
9,1334.520142
9,1384.51123
9,1377.633911
9,1376.869263
9,1369.603638
9,1391.192505
9,1423.201538
9,1427.296753
9,1476.999634
9,1450.951294
9,1393.754517
10,1417.553101
10,1414.098389
10,1391.116455
10,1367.822144
10,1385.035645
10,1470.450439
10,1469.017334
10,1464.75
10,1403.289917
10,1386.248657
10,1393.982666
11,1425.795532
11,1423.421753
11,1378.58667
11,1408.878296
11,1410.955933
11,1462.656372
11,1465.902954
11,1407.289063
11,1433.80188
11,1431.335938
11,1458.429077
12,1479.365479
12,1492.307617
12,1476.014893
12,1487.912109
12,1478.937134
12,1395.175659
12,1372.033447
12,1347.101929
12,1396.768799
12,1465.382568
12,1445.334839
12,1453.873535
13,1387.425537
13,1372.021484
13,1453.793457
13,1447.584595
13,1401.668701
13,1384.611328
13,1421.300049
13,1421.928589
13,1484.037109
13,1459.738159
13,1393.170044
14,1361.421143
14,1380.003784
14,1476.851563
14,1476.935547
14,1434.730591
14,1428.485718
14,1438.64563
14,1463.537109
14,1398.722412
14,1368.834961
14,1389.375
14,1385.00769
15,1411.228149
15,1378.614624
15,1341.257446
15,1438.169189
15,1461.747681
15,1457.728516
15,1436.019531
15,1429.462402
15,1453.217041
15,1509.713257
15,1465.522583
16,1452.57251
16,1414.66687
16,1387.289429
16,1454.858276
16,1490.06189
16,1457.043945
16,1389.09082
16,1364.567627
16,1404.643066
16,1424.946899
16,1364.527588
17,1336.633789
17,1333.727539
17,1416.356201
17,1433.449585
17,1444.718384
17,1446.407715
17,1405.86792
17,1389.883423
17,1424.522583
17,1493.508545
17,1489.053101
17,1453.601318
18,1405.839966
18,1420.455322
18,1436.984253
18,1431.588135
18,1417.597168
18,1385.736206
18,1389.58728
18,1443.741577
18,1424.638672
18,1444.906494
18,1463.57312
19,1450.170654
19,1447.02417
19,1420.263184
19,1416.640381
19,1449.309937
19,1488.100342
19,1432.708984
19,1401.328369
19,1405.968018
19,1403.518066
19,1397.581421
20,1378.98291
20,1475.818726
20,1477.524048
20,1417.296875
20,1371.905396
20,1361.605347
20,1426.620239
20,1520.121338
20,1481.555176
20,1376.561035
20,1401.012207
20,1488.996948
